method,lr,n_seeds,pct_runs_100,avg_top_hard_acc,pct_stable
gru (peri),0.0001,4,100.0,100.0,100.0
gru (peri),0.0003,4,100.0,100.0,100.0
gru (peri),0.001,4,50.0,50.0,75.0
peri,0.0001,4,100.0,100.0,100.0
peri,0.0003,4,100.0,100.0,75.0
peri,0.001,4,50.0,50.0,50.0
post,0.0001,4,75.0,75.0,100.0
post,0.0003,4,50.0,50.0,100.0
post,0.001,4,25.0,49.78000068664551,75.0
pre,0.0001,4,100.0,100.0,100.0
pre,0.0003,4,100.0,100.0,100.0
pre,0.001,4,50.0,74.27000045776367,50.0
